province,topic,date,content,label,score
青海省,青海省人民政府办公厅关于印发青海省全民科学素质行动计划纲要实施方案,2016-10-27,青海省人民政府办公厅 关于印发青海省全民科学素质行动计划 纲要实施方案（２０１６—２０２０年）的通知。《青海省全民科学素质行动计划纲要实施方案（２０１６—２０２０年）》已经省政府同意，现印发给你们，请结合实际，认真贯彻执行。。为全面贯彻落实全国科技创新大会和省委十二届十二次全委会议精神，根据《国务院办公厅关于印发全民科学素质行动计划纲要实施方案（２０１６—２０２０年）的通知》（国办发〔２０１６〕１０号，以下简称《科学素质纲要》）要求，为进一步明确“十三五”时期我省全民科学素质工作目标、重点任务及保障措施，制定本实施方案。。“十二五”以来，我省坚持“政府推动、全民参与、提升素质、促进和谐”的总方针，全面贯彻落实《科学素质纲要》，积极探索大联合、大协作的公民科学素质有效途径，全省公民科学素质工作取得了显著成效。五年来，全省各地区、各部门面向基层、服务民生，开展了内容丰富的群众性科技教育、传播及普及活动，未成年人、农民、城镇劳动者、领导干部和公务员、社区居民等重点人群科学素质行动扎实推进，科学教育与培训、科普资源开发与共享、科普人才培养和基础设施建设明显加强，大众传媒与科技传播能力、科普公共服务能力显著提升。第九次全国公民科学素质调查显示，２０１５年，我省公民具备科学素质的比例达到３。虽然我省全民科学素质工作在“十二五”期间取得了较好成绩，但与国内发达地区相比差距依然较大，存在着面向重点人群的科学素质工作薄弱，基层科协组织机构不健全、科普事业投入不足、社会各界共同参与科普的局面尚未形成、全民科学素质工作还难以满足全省经济社会发展需求等问题。“十三五”时期是实施创新驱动发展战略的关键时期，是全面建成小康社会的决胜阶段。科学素质决定公民的思维方式和行为方式，是实现美好生活的前提，是实施创新驱动发展战略的基础，是国家综合实力的体现，进一步加强公民科学素质建设，不断提升人力资源质量，对于增强自主创新能力，推动大众创业、万众创新，引领经济社会发展新常态，注入发展新动能，助力创新型青海建设和全面建成小康社会目标具有重要战略意义。。（一）指导方针。以党的十八大、十八届三中、四中、五中全会和习近平总书记系列重要讲话精神为指引，全面贯彻落实全国科技创新大会和省委十二届十二次全委会议精神，牢固树立新发展理念，坚持把科学普及放在与科技创新同等重要位置，按照“政府推动、全民参与、提升素质、促进和谐”的工作方针，围绕“节约能源资源、保护生态环境、保障安全健康、促进创新创造”的工作主题，着力推动科技教育、传播与普及，扎实推进全民科学素质工作，不断筑牢实施创新驱动发展战略的群众基础和人才基础，激发全社会创新创业活力，推进大众创业万众创新，为推动“三区”建设提供有力支撑。。（二）发展目标。到２０２０年，社会化大科普工作机制更加完善，公民科学素质服务能力显著增强，基本形成公民科学素质建设的组织实施、基础设施、条件保障、监测评估等体系，我省公民具备科学素质的比例达到４。———科技教育、传播与普及长足发展。围绕实施创新驱动发展战略和创新型省份建设的新要求，大力弘扬创新创业精神，深入开展生态环保、绿色发展、安全健康、信息技术、知识产权等知识的教育，推动形成讲科学、爱科学、学科学、用科学的良好社会氛围。。———公共服务能力显著增强。科技教育与培训体系基本完善，社区科普益民和农牧区科普惠民服务机制逐步建立，科普信息化共建共享平台建设取得突破，科普人才队伍不断壮大，科普产业发展加快推进，公民提升科学素质的机会和途径显著增多。。牵头单位：省发展改革委、省教育厅、省科技厅、省人力资源社会保障厅、省文化新闻出版厅。,其他,0.9938888551115652
青海省,青海省人民政府关于公布第一批省级历史文化名城的通知,2023-08-02,"历史文化名城是城乡历史文化遗产保护体系的重要组成,是城市文化的重要载体,具有重要的历史文化价值。为切实在城乡建设中加强历史文化保护传承工作,根据《青海省历史文化名城名镇名村街区认定办法》(青政办〔2022〕105号)等有关规定,经省政府核定,现公布同仁市、玉树市、海晏县、湟源县为我省第一批历史文化名城。。各有关地方人民政府、各有关部门要深入贯彻落实《中共中央办公厅 国务院办公厅印发〈关于在城乡建设中加强历史文化保护传承的意见〉的通知》精神,深入学习贯彻习近平总书记关于文化和自然遗产保护利用重要论述以及来青考察重要讲话精神,按照《历史文化名城名镇名村保护条例》及相关规定的要求,正确处理城乡建设与历史文化遗产保护的关系,深入研究发掘城乡历史文化遗产的内涵与价值,明确保护的原则和重点,健全长效机制,让历史文脉更好传承下去。省级历史名城所在的市、县人民政府要建立健全保护机制体制,依法做好历史文化名城保护规划编制、实施工作,科学划定历史文化街区、文物保护单位、历史建筑、传统风貌建筑的保护范围及建设控制地带,制定并严格实施相关保护措施。在历史文化名城保护规划的指导下,编制好重要保护地段的详细规划。在规划和建设中,要重视保护城市特色格局,注重城区环境整治和不可移动文物、历史建筑、传统风貌建筑的保护修缮及活化利用,不得进行任何与历史文化名城环境和风貌不相协调的建设活动。要积极开展国家历史文化名城申报和保护工作。。省住房城乡建设厅、省文物局要切实加强对省级历史文化名城保护工作的指导、监督和检查。",不属于政府领导到其他城市考察学习的新闻,0.5421928963730362
青海省,省政府年月份大事记,2023-07-05,"● 6月1日 全省应急处突能力建设暨防范重特大生产安全事故专题会议召开,省委书记陈刚主持会议并讲话,省委副书记、省长吴晓军讲话,省委常委、省政府党组副书记王林虎出席会议。。●6月2日省委书记、省委主题教育领导小组组长陈刚主持召开省委主题教育领导小组会议,省长、省委主题教育领导小组第一副组长吴晓军出席会议,中央第十四指导组派员莅会指导,省领导汪洋、赵月霞、朱向峰、杨逢春、刘大业参加会议。。●6月2日省委书记陈刚到省教育厅、省科学技术厅、省社会科学院调研。省委常委、秘书长朱向峰一同调研,副省长杨志文、刘超参加相关活动。。●6月2日省政府举办理论学习专题讲座,邀请中国科学院青海盐湖研究所所长、研究员吴志坚围绕推进世界级盐湖产业基地建设作辅导报告。省长吴晓军主持讲座。。●6月2日省委常委、省政府党组副书记王林虎到西宁市南川工业园区调研新能源产业发展情况,王林虎先后深入青海弗迪电池有限公司、西宁阿特斯光伏科技有限公司、天合光能(青海)新能源有限公司、青海晶科能源有限公司生产一线,了解企业生产经营情况、发展愿景规划,听取企业诉求,现场解决实际困难。。●6月3日省长吴晓军先后与省政府领导班子成员,与省政府组成部门、直属机构、派出机构、有关群众团体党组(党委)书记,与高等院校、省属国有及国有控股企业党组(党委)书记,围绕深入落实省委关于6名领导干部严重违反中央八项规定精神问题以案促改专项教育整治部署要求,进一步履行全面从严治党主体责任,开展集体谈心谈话。。●6月4日省长、省政府党组主题教育领导小组组长吴晓军主持召开省政府党组主题教育领导小组会议,传达学习中央和省委主题教育领导小组有关文件、会议精神,研究部署贯彻落实措施。副省长王林虎、刘涛、杨志文、刘超、李宏亚、何录春、王海红参加会议。。●6月5日2023年青海省六五环境日公益宣传活动在西宁市新宁广场举行,省委书记陈刚、省长吴晓军对2023年六五环境日宣传活动及全省生态文明建设和生态环境保护工作提出要求,副省长刘涛出席活动并致辞。。● 6月5日 省委书记陈刚到青海藏文化博物院、金诃藏药股份有限公司、省藏医院、青海大学高原医学研究中心调研。省委常委、秘书长朱向峰,副省长何录春一同调研。。●6月5日省长吴晓军到省人力资源和社会保障厅、省住房和城乡建设厅、省自然资源厅调研督导主题教育工作。副省长刘涛、杨志文、何录春分别参加调研。。●6月6日青海省党政代表团赴西藏自治区考察,并在拉萨举行青海·西藏工作座谈会。西藏自治区党委书记王君正主持座谈会并讲话,青海省委书记陈刚讲话。西藏自治区党委副书记、自治区政府主席严金海,青海省委副书记、省长吴晓军分别介绍两省区经济社会发展情况,并代表双方签署《青海省人民政府·西藏自治区人民政府战略合作框架协议》。在西藏期间,我省党政代表团考察了西藏尚厨炊具科技有限公司、南北山绿化情况。西藏自治区领导陈永奇、刘江、普布顿珠、达娃次仁;青海省领导杨发森、王林虎、朱向峰参加相关活动。。●6月8日至10日省长吴晓军到海南州和西宁市调研清洁能源发展时强调,要深入贯彻落实习近平总书记“四个革命、一个合作”能源安全新战略和考察青海重要讲话精神,以正在开展的主题教育为动力,全力扬优势、补短板、强弱项,加快国家清洁能源产业高地建设。调研期间,吴晓军还对海南州巩固拓展脱贫攻坚成果同乡村振兴有效衔接考核反馈问题整改工作进行了督导调度,对防汛救灾等工作提出具体要求。省领导王林虎、吕刚分别参加相关活动。。●6月12日省委书记陈刚、省长吴晓军会见参加第三届中国(青海)国际生态博览会的驻华使节。省委常委、秘书长朱向峰,副省长王海红参加会见。",其他,0.7049577124511565
青海省,青海省人民政府办公厅转发省市场监督管理局关于压缩企业开办时间条措施的通知,2019-04-27,​青海省人民政府办公厅 转发省市场监督管理局关于压缩企业 开办时间20条措施的通知。省市场监督管理局《关于压缩企业开办时间２０条措施》已经省政府同意，现转发给你们，请结合实际，抓好贯彻落实。。为认真贯彻党中央、国务院和省委、省政府推进压缩企业开办时间和行政审批服务便民化的有关部署要求，进一步深化商事制度改革，提高企业（含个体工商户、农牧民专业合作社，下同）登记注册便利化水平，提升企业开办透明度和可预期性，现制定压缩企业开办时间20条措施。。（一）全面开放企业名称库。自2019年5月1日起，持续将过期失效、注销满一年、吊销满三年且已注销企业的名称纳入企业名称库可选企业名称列表，供申请人选择使用，有效释放企业名称资源。。（二）实行企业名称自主申报制。自2019年5月1日起，省、市（州）、县三级市场监管部门同步实行企业名称自主申报制，除《企业名称禁限用规则》禁止使用的外，申请人提交承担相应法律责任的书面承诺后，可以自主选择申报企业名称。对经营范围不涉及工商登记前置审批事项的企业名称，以自主申报的企业名称一并提交设立登记申请；对申请的企业名称需经授权后方可使用的，在取得授权后与企业设立登记申请一并提交。。（三）下放企业名称登记管辖权。自2019年5月1日起，省市场监管局授权各市（州）、县（市、区、行委）、青海湖景区市场监管局，西宁市行政审批服务局和省市场监管局各直属分局审核登记冠“青海”行政区划企业名称。2019年5月底前，各市（州）市场监管局、西宁市行政审批服务局完成对所属县（市、区、行委）市场监管局和登记管辖范围内青海湖景区市场监管局、省市场监管局各直属分局审核登记冠本市（州）行政区划企业名称的授权工作。各级市场监管部门按照“谁登记、谁负责”的要求，制定完善企业名称纠纷调处机制，及时有效调处企业名称纠纷。。（四）全面实行住所（经营场所）自主申报制。严格落实住所（经营场所）自主申报制，对不涉及工商登记前置审批事项或将城镇住宅改变为经营性用房的，由申请人自主申报企业住所（经营场所），并填报《青海省企业住所（经营场所）登记申报承诺书》。允许仅通过互联网从事经营的电子商务经营者将网络经营场所申请登记为个体工商户经营场所。。（五）实行经营范围自主申报。按照非禁即入的原则，对市场准入负面清单以外的行业、领域、业务等，允许各类企业依法平等进入；对不在《国民经济行业分类》和国家市场监管总局新兴行业目录内的，允许申请人在企业设立登记或经营范围变更登记时参照省外做法自主申报经营范围。对涉及市场准入负面清单中工商登记后置审批事项的，落实“先照后证”制度规定，先办理营业执照，后办理审批事项，同步将企业登记信息推送给同级审批部门，并告知申请人需要办理的行政审批事项和办理部门。。（六）整合市场主体登记申请文书。在严格落实国家市场监管总局两个“新规范”的基础上，进一步精简企业登记申请文书和提交材料，自2019年5月1日起，启用整合“多证合一”涉企证照事项申请书、委托代理人证明后的企业登记申请文书套表（另行印发），涉及“多证合一”涉企证照事项的直接填写附表信息，进一步减少申请人填报的信息项目和提交材料份数。。（八）实行清税证明免提交。加强与税务部门信息共享，对按照简易注销程序提交登记申请的，由市场监管部门通过公示系统、综合业务系统等核对异议信息；对按照一般程序申请注销登记的，市场监管部门通过信息共享方式获取并打印清税信息，申请人不再提交清税证明，该清税证明标注为“通过信息共享方式获得”。。各样本单位在压缩企业开办时间方面的主要做法、成功经验以及遇到的突出问题等，及时报省市场监管局。,其他,0.9989696435804472
青海省,省政府年月份大事记,2023-09-07,"●8月1日省长吴晓军到西宁、海东调研农副产品批发市场、综合保税区及工业企业运行情况。省委常委、西宁市委书记王卫东,省委常委、海东市委书记乌拉孜别克·热苏力汗分别参加相关活动。。●8月1日海南藏族自治州成立70周年庆祝大会在共和县海南州体育场举行。中央有关部门祝贺团团长、国家民族事务委员会专职委员秦宜智,省党政军代表团团长、省政协主席公保扎西,省党政军代表团副团长、省领导才让太、班果、杨逢春出席大会。省人大常委会副主任、海南州委书记吕刚致辞。省党政军代表团副团长、省军区少将副司令员朗杰,中国太平洋保险(集团)股份有限公司党委书记、董事长孔庆伟,老同志宋瑞祥、洛桑灵智多杰、邓本太、杜捷、张文魁出席大会。。●8月2日省政府与中国移动通信集团有限公司在西宁签署战略合作协议。省委书记陈刚、省长吴晓军会见中国移动党组书记、董事长杨杰一行,并见证签约。副省长刘超,中国移动副总经理赵大春参加会见并代表双方签约,省委常委、秘书长朱向峰参加。。●8月2日省长吴晓军到省信访局现场接待信访群众,调研信访工作,看望一线信访工作人员。副省长李宏亚参加调研。。●8月3日至4日江苏省党政代表团来青考察,青海省委书记陈刚、省长吴晓军在西宁与江苏省委书记信长星、省长许昆林率领的代表团一行座谈。期间,代表团一行看望慰问了江苏援青干部人才代表,前往青海省自然资源博物馆、中复神鹰碳纤维西宁有限公司、天合光能(青海)科技有限公司、青绣数字化总部经济、青海农林牧商品交易中心考察。青海省领导王卫东、才让太、王林虎、乌拉孜别克·热苏力汗、朱向峰、吕刚;江苏省领导韩立明、储永宏、马欣参加有关活动。。●8月3日海北藏族自治州成立70周年庆祝大会在海晏县西海镇西海体育场举行。中央有关部门祝贺团团长、国家民族事务委员会专职委员秦宜智,省党政军代表团团长、省政协主席公保扎西,省党政军代表团副团长、省领导班果、杨逢春出席大会。山东省副省长周立伟宣读《贺信》。省党政军代表团副团长、副省长何录春、省军区少将副政治委员杨科祥,全国政协常委、中国科学院院士武向平,国防科工局党组成员、副局长刘敬,老同志张文魁出席大会。。●8月6日国家电网有限公司青海哇让抽水蓄能电站暨玉树果洛二回、丁字口输变电工程开工动员大会在西宁举行。省委书记陈刚、省长吴晓军与国家电网有限公司党组书记、董事长辛保安一行座谈并出席开工动员大会。大会在西宁设主会场,在海南州贵南县、共和县,海西州茫崖市工程现场设分会场。省领导王林虎、班果、朱向峰、张黄元、吕刚分别参加有关活动。。●8月7日青海省委书记陈刚、甘肃省委书记胡昌升来到隔黄河相邻的青海省民和回族土族自治县、甘肃省积石山保安族东乡族撒拉族自治县,一同调研黄河上游生态保护和高质量发展情况。青海省领导乌拉孜别克·热苏力汗、朱向峰、刘涛,甘肃省领导程晓波、张伟参加有关活动。。●8月9日至11日西北五省(区)政协助推服务丝绸之路经济带建设第四次联席会议在西宁召开。全国政协副主席王勇出席会议并讲话,青海省委副书记、省长吴晓军致辞,青海省政协主席公保扎西主持会议并讲话。全国政协经济委员会副主任马建堂应邀出席会议并讲话,陕西省政协主席徐新荣,宁夏回族自治区政协主席陈雍,新疆维吾尔自治区政协主席努尔兰·阿不都满金,甘肃省政协副主席贠建民作交流发言,青海省委常委、常务副省长王林虎介绍青海能源发展情况,陕西、甘肃、宁夏、新疆相关部门领导介绍本省(区)能源发展情况。国家发展改革委、商务部、能源局、国家电网公司有关司局的负责同志,五省(区)政协相关副主席,五省(区)政府、政协相关部门负责同志,青海有关市州县政协负责同志参加会议。",政府领导到其他城市考察学习或访问,0.6304172120925849
青海省,省政府党组会议和常务会议先后召开吴晓军主持,2023-07-17,"7月16日,省政府党组书记、省长吴晓军先后主持召开省政府党组会议和常务会议,传达学习习近平总书记近期重要讲话、重要指示和中央重要会议精神,落实省委工作要求,研究相关工作。。会议传达学习习近平总书记在中央全面深化改革委员会第二次会议、江苏考察、视察东部战区机关、对网络安全和信息化工作、出席上海合作组织成员国元首理事会第二十三次会议重要讲话和重要指示精神。强调,要紧跟改革部署、扛牢改革责任,持续深化重点领域改革,着力在推动能耗双控逐步转向碳排放双控等方面取得新进展。要坚持以学促干,匡正干的导向,增强干的动力,形成干的合力,树牢造福人民的政绩观,鼓足干事创业的精气神,形成狠抓落实的好局面,加快推进现代化新青海建设。要深入学习贯彻习近平总书记关于网络强国的重要思想,牢记使命任务、细化抓实任务举措,大力推动网信事业高质量发展。。会议传达学习6月29日国务院常务会议精神。强调,要以“时时放心不下”的责任感,扎实做好防风险、除隐患、堵漏洞、保安全各项工作,守牢安全底线。要提升供给质量,创新消费场景,改善消费条件,优化消费环境,促进家居消费。。会议听取关于上半年全省经济形势分析和做好下半年工作建议的汇报。强调,坚持稳中求进工作总基调,完整准确全面贯彻新发展理念,积极服务和融入新发展格局,着力推动高质量发展,把握客观规律,一以贯之稳增长、稳就业、稳物价,抓服务主体、抓稳定工业、抓投资回升,保生态环境、保基本民生、保安全底线,乘势“双过半”,奋战黄金季、确保全年胜,不断巩固扩大回升向好态势,努力实现经济运行持续整体好转。。会议听取关于信访工作的汇报。强调,要深入学习贯彻习近平总书记关于加强和改进人民信访工作的重要思想,提升信访工作专业化法治化信息化科学化水平,坚决扛起为民解难、为党分忧的政治责任。。会议审议并原则通过《青海省脱贫人口增收三年行动方案(2023—2025年)》《青海省优化调整细化实化稳就业政策全力促发展惠民生若干措施》。强调,要落实各级责任,坚持实事求是,紧盯收入构成,聚焦重点群体,多措并举促进脱贫人口稳步增收。要稳定和扩大就业岗位,激发企业活力,扩大就业容量,加强困难群体就业帮扶,促进高校毕业生等青年就业创业。。会议审议并原则通过《青海省2022年省本级财政决算(草案)的报告》《青海省2023年上半年预算执行情况的报告》,要求按程序提请省人大常委会审查。",政府领导到其他城市考察学习或访问,0.5197715948277067
青海省,青海省人民政府关于年度青海省科学技术奖励的决定,2021-07-15,为深入贯彻习近平新时代中国特色社会主义思想，贯彻落实习近平总书记在科学家座谈会上提出的“四个面向”的重大要求，深入实施创新驱动发展战略，进一步推进科技进步和自主创新，激发科技工作者的创新动力和活力，加快推进创新型省份建设，省人民政府决定，对为我省科学技术进步和促进经济社会发展作出突出贡献的科学技术人员和集体给予奖励。。根据《青海省科学技术奖励办法》规定，经省科学技术奖专家评审组评审、省科学技术奖励委员会审定，省政府批准，授予侯生珍同志青海省科学技术重大贡献奖;授予“高海拔地区特早熟高产优质甘蓝型油菜杂交种的选育与应用”等5项成果青海省科学技术进步一等奖;授予“青海不同生态环境区煤系矿产资源地质勘查关键技术及应用”等10项成果青海省科学技术进步二等奖;授予“牦牛本品种选育及提高生产性能技术集成与示范”等15项成果青海省科学技术进步三等奖。。希望受到表彰的个人和集体不忘初心、牢记使命，继续发扬服务青海、造福人民的光荣传统和追求真理、勇攀高峰的科学精神，在新青海建设中再创佳绩、再立新功。各地区、各部门和广大科技工作者要认真学习习近平关于科技创新的重要论述，深入学习贯彻习近平总书记在参加十三届全国人大四次会议青海代表团审议和来青考察时的重要讲话精神，以获奖者为榜样，加强基础科学研究和技术攻关，积极推动产学研用深度融合，加大科技创新支持和成果转化力度，加快创新型人才培养，持续深化科技体制机制改革，不断激发创新活力，全面提升科技创新能力，为推动创新型省份建设，推进青藏高原生态保护和高质量发展，奋力谱写全面建设社会主义现代化国家的青海篇章作出新的更大贡献!,不属于政府领导到其他城市考察学习的新闻,0.8203964206136445
青海省,省政府年月份大事记,2023-06-09,"●5月4日在6名领导干部严重违反中央八项规定精神问题以案促改专项教育整治动员部署会后,省委书记陈刚与市州委书记就进一步履行全面从严治党主体责任、第一责任人责任开展集体谈心谈话。省长吴晓军,省领导汪洋、赵月霞、朱向峰出席会议。。● 5月4日省政府党组书记、省长吴晓军主持召开省政府党组会议,传达学习习近平总书记近期重要讲话精神、4月28日中央政治局会议精神、二十届中央全面深化改革委员会第一次会议精神、6名领导干部严重违反中央八项规定精神问题以案促改专项教育整治动员部署会精神,传达学习新修订的省委省政府贯彻落实中央八项规定及其实施细则精神的《若干措施》。省政府党组副书记王林虎,党组成员才让太、刘涛、杨志文、刘超、李宏亚、何录春、苏全仁出席会议。。●5月5日省委书记陈刚到省农业农村厅、省林业和草原局、省乡村振兴局调研。省领导才让太、朱向峰、刘涛分别参加调研。。●5月5日省医改领导小组(扩大)会议召开,省长、省医改领导小组组长吴晓军出席会议并讲话,副省长何录春主持会议。。●5月8日省委书记陈刚到省民政厅、省人力资源社会保障厅、省卫生健康委调研。省委常委、秘书长朱向峰,副省长杨志文、何录春分别参加调研。。●5月8日全省防汛抗旱暨安全生产工作电视电话会议召开,省委副书记、省长吴晓军出席会议并讲话,省委常委、副省长才让太主持会议,省军区副司令员朗杰出席会议。。●5月8日省委常委、副省长才让太在西宁会见中国南水北调集团副总经理孙志禹一行,并就落实双方主要领导会晤精神,深化战略合作进行了座谈交流。。●5月9日省全面推行河湖长制工作领导小组会议暨厅际联席会议在西宁召开,省委书记、领导小组组长陈刚主持会议并讲话,省长、领导小组组长吴晓军讲话。省领导才让太、朱向峰、刘涛出席会议。。●5月9日省委书记陈刚、省长吴晓军到位于大通县桥头镇和青林乡的引大济湟西干渠工程32号隧洞进口、西干渠工程4号渡槽、黑泉水库管护部,现场察看工程建设进展情况,听取引大济湟、引黄济宁、南水北调西线、引通济柴等重大水利工程情况。省委常委、副省长才让太,省委常委、秘书长朱向峰参加调研。。●5月10日青海省第四届拉面行业职工职业技能大赛在海东市化隆县群科新区开幕,中华全国总工会党组书记、副主席徐留平致辞,省委书记陈刚宣布开幕,省政协主席公保扎西出席开幕式。省委常委、宣传部部长、省总工会主席王大南主持开幕式,省领导乌拉孜别克·热苏力汗、朱向峰、王黎明、杨志文,中华全国总工会兼职副主席马吉孝,中华全国总工会书记处书记邹震出席开幕式。。●5月11日省委书记陈刚、省长吴晓军与中国交通建设集团有限公司党委书记、董事长王彤宙一行在西宁座谈。 省委常委、秘书长朱向峰,副省长何录春参加座谈。。●5月11日青海省红十字会第九届理事会第四次会议召开,选举杨志文为省红十字会会长,补选变更了部分理事和常务理事。。●5月12日全省就业提质增效暨高校毕业生就业创业工作推进视频会议召开,副省长、省促进就业和根治欠薪工作领导小组组长杨志文出席会议并讲话。。●5月13日省长吴晓军到西宁大学校园建设现场、青海师范大学城北校区、青海交通职业技术学院,实地察看西宁大学校园基础设施项目推进、质量安全、环保措施落实等情况,详细了解西宁大学孵化学院实体化运行、职业技术本科大学组建等情况,并召开专题会听取相关单位工作情况汇报。副省长杨志文、何录春一同调研。。●5月15日省长吴晓军到西宁植物园、西山林场、中科院西北高原生物研究所,实地了解规划布局、建设管理、高原植物种质资源收集评价保护等情况,并召开座谈会。省领导王卫东、刘涛、李晓南一同调研。",其他,0.8729562691480858
青海省,省政府党组会议和常务会议先后召开吴晓军主持,2023-05-27,"近日,省政府党组书记、省长吴晓军先后主持召开省政府党组会议和常务会议,传达学习习近平总书记重要讲话重要指示和中央重要会议精神,学习贯彻中共中央政治局委员、国务院副总理刘国中在青海、甘肃调研时的讲话精神,落实省委工作要求,研究相关工作。。会议传达学习习近平总书记在雄安新区、河北、陕西、山西等地考察和听取汇报时的重要讲话精神。强调,要及时跟进学习贯彻习近平总书记重要讲话重要指示精神,常态化开展贯彻落实“回头看”,始终沿着习近平总书记指引的方向前进。要紧盯高质量发展这个首要任务,全面落实创新驱动发展战略,着力构建绿色低碳循环现代产业体系,促进城乡区域协调发展。要深入推进黄河流域生态保护和高质量发展,着力推动发展方式绿色低碳转型,提升生态文明建设水平。要深入扎实推进主题教育,从党的科学理论中悟规律、明方向、学方法、增智慧,提升政治能力、思维能力、实践能力。要牢固树立和践行正确政绩观,求真务实、真抓实干,创造经得起实践和人民检验的真业绩。要深刻领悟“千万工程”的重大政治意义、理论意义和实践意义,强化责任担当,更新思路理念,改进方法举措,推进高原宜居宜业和美乡村建设。。会议传达学习习近平总书记在首届中国—中亚峰会上发表的重要主旨讲话、致康复国际百年庆典重要贺信精神。强调,要深度融入共建“一带一路”大格局,着力打造向西开放的桥头堡,在扩大对内对外开放中强动力、增活力。要以更加有力举措发展残疾人事业,提升残疾人福利服务保障能力,不断增进残疾人民生福祉。。会议传达学习5月19日国务院常务会议精神。强调,要积极融入全国统一大市场建设,提高资源配置效率,释放市场潜力。要加强医疗保障基金使用常态化监管,优化监管方式,纵深推进改革,进一步织密织牢监管网。。会议传达学习刘国中副总理在青海、甘肃调研时的讲话精神。强调,要把思想和行动统一到习近平总书记关于巩固拓展脱贫攻坚成果同乡村振兴有效衔接重要讲话精神上来,认真贯彻落实刘国中副总理讲话要求,毫不放松强化责任和工作落实,扎实推动国家考核反馈问题整改,让脱贫基础更加稳固、成效更可持续。。会议研究部署危险化学品安全风险集中治理、全民科学素质工作。强调,要坚决压实安全生产责任,狠抓问题整改和隐患排查治理,守牢安全生产底线。要以提高全民科学素质、服务高质量发展为目标,推动我省全民科学素质工作迈上新台阶。",政府领导到其他城市考察学习或访问,0.7550205751796822
