content,来访城市,受访城市,来访人姓名,来访人职位,接访人姓名,接访人职位,访问年份,访问时间,访问天数,新闻摘要,是否属于数字政府议题,政策议题
10月15日至16日，省委常委、常务副省长罗文率应急厅、省林草局、凉山州等相关负责同志赴吉林省学习考察森林草原防灭火工作。考察组在长春市召开座谈会，与吉林省有关部门就森林草原防灭火体制机制、队伍建设、预案管理、火源管控、隔离带建设、群防群控、经费保障等进行深入交流。。罗文一行先后前往延边州珲春市森林消防大队、林业局、金山哨所、马川子乡和延吉市帽儿山国家森林公园，实地考察森林草原防灭火监测预警系统建设、标准化营房建设、特种车辆和作战装备配备、防火宣传教育活动开展等，观看了森林灭火实战演练。。要系统梳理认真学习借鉴吉林省相关做法，对照检查我们工作中的短板弱项，提出行之有效的措施办法，。把学习考察成果转化为专项整治的具体行动和实际成效。要抓紧在预案管理、火源管控、宣传动员、群防群控等方面拿出硬招实招，坚决打赢森林草原防灭火这场硬仗。,凉山市,长春市,罗文,省委常委、常务副省长,,,2023,2023-10-15 00:00:00,2.0,学习考察森林草原防灭火工作,否,应急事件；环境保护
为进一步推动川渝合作向纵深发展，全面融入国家“一带一路”和长江经济带战略，今天上午，四川省委书记王东明，省委副书记、省长尹力率四川省党政代表团前往重庆市学习考察。 代表团一行首先来到长安汽车工程研究总院。长安汽车是我国最大的自主品牌车企，在新能源汽车领域处于领先水平。成立于1995年的工程研究总院是长安汽车自主研发的核心机构，拥有超过6000名研发人员，牵头制定国家标准20余项。 在渝期间，代表团还将前往两江新区、猪八戒网络公司等地考察。 去年5月，重庆市党政代表团曾到访四川，双方在成都签署了关于加强两省市合作共筑成渝城市群工作备忘录，明确了到2020年，将成渝经济区打造成为国家重要的统筹城乡发展先行示范区，将成渝城市群建设成为国际知名、国内领先、辐射带动西部地区发展重要增长极的目标。今年3月，国务院常务会议通过《成渝城市群发展规划》。四川党政代表团此次赴渝，两省市之间还将签署深化务实合作年度重点工作方案及多个专项合作协议，对加快实现前述目标形成有力推动。,四川省,重庆市,王东明,四川省委书记, , ,2019,2019-10-23 00:00:00,2.0,全面融入国家“一带一路”和长江经济带战略；牵头制定国家标准20余项；成渝经济区打造成为国家重要的统筹城乡发展先行示范区；成渝城市群建设成为国际知名、国内领先、辐射带动西部地区发展重要增长极的目标,否,宏观经济；科技通信；区域规划
9月14日，省委副书记、省长蒋巨峰率四川省党政代表团，前往河南省感恩致谢，学习考察。在河南省委副书记、省长郭庚茂的陪同下，代表团参观了郑东新区、中铁隧道装备制造有限公司和河南博物院。 “河南正在建设郑州新区，实施郑州开封一体化发展，我想请教三个问题——新城规划如何规避堵车、水淹、环境污染等问题？新区规划如何解决新型产业形态的支撑？城市组团式发展有哪些经验和不足？”落座郑东新区，蒋巨峰开门见山地就我省规划天府新区正在思考的问题向河南取经。 郭庚茂认为，新区建设最核心的问题就是解决城市化和工业化的良性互动，建立良好的城市形态，既要避免大城市病，又要避免小城镇过多过密。郑州新区的做法是核心带动、节点提升、三化协调、产城互动。 郑东新区分为5个功能区：中央商务区、商住物流区、龙湖区、龙子湖高校园区、科技物流园区。截至2010年底，累计完成固定资产投资987亿元，引进各类金融机构73家，世界500强企业25家。走在郑东新区的核心区，两环高层建筑临湖矗立，内环建筑高80米，外环建筑高120米，郑州国际会展中心、河南艺术中心、千玺广场三大标志性建筑坐落在建筑群中心。蒋巨峰咨询郑东新区的规划建设情况、产业形态，并称赞规划大气，值得四川学习。 中铁隧道装备制造有限公司去年生产盾构机23台，占到全国总产量的三分之一。他们的盾构产品广泛应用于北京、天津、重庆、沈阳、郑州等城市的地铁、市政、水利、核电等工程建设上。代表团走进车间，为郑州地铁订制的3台盾构机正在紧锣密鼓的生产中。 蒋巨峰说，国内企业能够在这一领域内拥有自主知识产权，很了不起。 河南是文化资源大省。代表团还考察了河南博物院，博物院绿草成茵，环境幽雅，展厅内部陈列精致，文物数量质量之高，充分体现了源远流长的中原文化特色。据介绍，从上古时候起，地处黄河流域的河南省就是中华民族的发源地之一，境内的洛阳、开封、安阳，都曾是历史上的都城。虽然黄河的泛滥和战争摧毁了人们一次次建立在这里的都城，但他们所创造的无数文化载体却存留了下来。蒋巨峰说，来河南上了一堂生动的历史课，河南在民族文化上的保存、挖掘为中华民族的伟大复兴注入了文化力量。 省委常委、副省长魏宏，省政府秘书长于伟参加考察；河南省委常委、副省长李克，副省长张大卫，省政府秘书长安惠元陪同考察。（记者 李秋怡）,成都市,郑州市,蒋巨峰,河南省省长,,,2014,2014-09-14 00:00:00,1.0,"“河南正在建设郑州新区，实施郑州开封一体化发展，我想请教三个问题——新城规划如何规避堵车、水淹、环境污染等问题？新区规划如何解决新型产业形态的支撑？城市组团式发展有哪些经验和不足？”,蒋巨峰咨询郑东新区的规划建设情况、产业形态；文化力量；",否,区域规划；宏观经济；文化旅游；环境保护
为全面贯彻落实国家和省、市深化“放管服”改革和优化营商环境工作部署，加快城市更新进程，提升改善城市居民居住环境，近日，自贡市副市长黄雪智率队，前往山东省济宁市、日照市，江苏省南京市学习考察城市更新工作。自贡市住房城乡建设局、自然资源和规划局、政务服务和营商环境局、城投集团相关负责人、工作人员陪同考察。。考察组先后前往济宁市、日照市、南京市玄武区学习城市更新项目分类审批工作优秀经验，详细了解城市更新项目中审批服务资源有效整合、系统互联互通、流程标准规范、服务主动周到的工作做法，对科学规划、分类审批、协同服务等进行深入交流和探讨。。下一步，自贡市局将探索研究城市更新项目主要是老旧小区改造、市政设施更新等行政审批“豁免”清单工作，进一步提高审批效率、简化程序。,自贡市,"济宁市,日照市,南京市",黄雪智,自贡市副市长,,,2023,2023-08-28 00:00:00,1.0,学习城市更新工作；审批服务资源有效整合、系统互联互通、流程标准规范、服务主动周到的工作做法，对科学规划、分类审批、协同服务等进行深入交流,是,区域规划；政府运作；数字政府
蜀道丝路牵手 交流协作共赢 广元市党政代表团赴新疆哈密学习考察-政府信息公开-广元市人民政府。4月16日至17日，广元市党政代表团赴新疆维吾尔自治区哈密市考察学习，深入贯彻习近平总书记关于促进区域协同发展重要论述，认真落实新疆维吾尔自治区及新疆生产建设兵团·四川省工作协作座谈会精神，围绕《新疆维吾尔自治区人民政府 四川省人民政府战略合作框架协议》议定事项，与哈密市共商深化合作事宜、共谋协同发展大计。17日，两市召开工作协作座谈会，广元市委书记何树平出席会议并讲话，哈密市委书记孙涛主持会议并讲话；哈密市委副书记、市长吾拉木江· 热依木出席活动。。何树平在讲话中说，哈密是“丝路明珠”，素有“西域咽喉、东西孔道”之称；广元是“蜀道明珠”，被誉为“川北门户、蜀道咽喉”。古往今来，丝绸之路与古蜀道纵横交错、跨越千年，“丝路明珠”与“蜀道明珠”交相辉映、夺目绽放，演绎了哈密和广元之间道不尽、剪不断的深厚情缘。哈密聚焦“一标杆两典范”总体定位，大力实施“123456”发展思路，各项事业取得显著成效，特别是煤炭煤化工、新能源新材料和现代物流等领域实现跨越发展，主要经济指标增速位居全疆前列，值得广元学习借鉴。广元历史悠久、文化厚重，区域独特、交通便捷，山水秀美、生态宜居，溢满关爱、沐浴幸福。去年7月25日，习近平总书记亲临广元视察，给予我们强烈的思想指引、精神鼓舞和奋斗感召。全市上下认真贯彻习近平总书记。重要指示精神，全面落实党中央和四川省委决策部署，加快推进通道优势向经济优势、资源优势向产业优势、环境优势向竞争优势“三个转变”，治蜀兴川广元实践各项事业取得新进展。哈密是新疆的“东大门”，广元是四川的“北大门”，两市产业特色鲜明、各具优势、相互协同，推进协同发展具有良好基础、广泛共识、共同愿景。希望双方推动能源化工、新材料、现代物流、特色农业、文化旅游等产业协同发展，深化社会事业领域交流合作，结出像“哈密瓜”一样的甜蜜果实。。孙涛向广元市党政代表团的到来表示热烈欢迎。他说，此次广元市党政代表团来哈密考察调研，拉开了双方深化交流合作的序幕，展现出了广元市委、市政府锐意进取、主动作为的干事创业精气神，全市上下齐心协力谋求发展的信心和决心，让人深受启发，值得学习借鉴。当前，国家“一带一路”建设、新时代西部大开发、西部陆海新通道建设等重大战略布局，为哈密市与广元市交流合作提供了前所未有的有利条件。近期，新疆党政代表团赴四川学习考察，双方在多个领域达成务实合作的广泛共识，这也为哈密市与广元市共商合作、共谋发展开拓了更为广阔的空间。哈密愿与广元携手，在政治、经济、文化等各个领域开展深度合作，为构建新发展格局、铸牢中华民族共同体意识作出两地应有贡献。希望双方在战略合作框架协议的基础上，以疆煤入川、川货进疆、物流产业培育等作为切入点和突破口，以务实举措深化双方合作；利用好各类节、会、展等平台载体，为双方提供更多交流展示窗口，以相互赋能的方式加强交流；进一步加强市场主体打造，共同开拓第三方市场和区域性市场，实现“有为政府”与“有效市场”有机结合，以市场化方式实现双方共赢；进一步健全和完善两市互访交流、对话合作工作机制，引领双方合作步入制度化轨道，书写交流合作新篇章。。座谈会上，广元市委常委、常务副市长杨浩，哈密市委常委、常务副市长张志先分别介绍两市经济社会发展情况，并代表两市人民政府签署战略合作协议；广元国际铁路港建设发展有限公司与新疆哈密新恒顺交通物流集团有限公司签署战略合作协议。,广元市,哈密市,何树平,广元市市委书记,孙涛,哈密市委书记,2024,2024-04-16 00:00:00,2.0,共商深化合作事宜；两市产业特色鲜明、各具优势、相互协同，推进协同发展具有良好基础、广泛共识、共同愿景；推进能源化工、新材料、现代物流、特色农业、文化旅游等产业协同发展；,否,宏观经济；区域规划
5月10日至11日，省委常委、常务副省长罗文赴北京市学习考察科技创新工作。罗文强调，要深入推进创新驱动引领高质量发展，学习借鉴北京市在营造创新生态、建设创新平台、聚集高端创新人才等方面的做法和经验，结合实际为推动四川科技创新增添新动力。。调研期间，罗文一行先后前往小米、快手、百度等创新型企业和君联资本、中关村并购母基金等投资机构进行实地考察，与企业和机构负责人深入交谈，并召开座谈会，了解北京市创新创业环境建设情况，研究谋划四川支持科技创新政策思路办法。。罗文强调，要认真学习借鉴北京市在原始创新和区域协同创新方面的好做法好经验，逐条研究、消化吸收。要善于发挥市场的主引擎作用，把更多资源交给市场和用户，以市场化的角度去判断和选择项目。要善于发挥资本的主引线作用，推动科技成果更好实现转化。要善于发挥企业的主体作用，激活企业在科技创新方面的内生动力。要善于发挥人才的主力作用，聚集一大批企业需要的高端创新人才。,雅安市,成都市,徐鸣,雅安市市委书记,王晓晖,成都市委常委、组织部部长,2024,2024-05-09 00:00:00,1.0,学习考察单核引擎、二次创业以及优化政务服务等方面的思路和做法,否,宏观经济；区域规划；政府运作
4月28日至29日，省委常委、常务副省长罗文赴广东省学习考察科技创新工作。罗文强调，要深入贯彻创新驱动发展战略，学习借鉴广东省在完善体制机制、支持平台建设、集聚创新人才、优化创新环境等方面的经验做法，结合四川实际，出台务实管用的政策措施。。调研期间，罗文一行先后前往深圳市、广州市，实地考察中国科学院先进技术研究院、大疆创新科技、明珞汽车装备、视源电子科技、禾信仪器、金发科技等创新型企业，与科研院所、企业负责人深入交谈，并召开座谈会，了解广东省科技成果转化、技术创新、人才培养、体制机制改革等情况，研究谋划四川支持科技创新政策思路办法。。罗文强调，要认真学习借鉴广东省的好经验好做法，逐条研究、消化吸收。要突出需求导向，从供给和需求两端发力，让需求端以市场化的角度去判断和选择项目。要突出企业主体，充分发挥企业在推动科技成果产业化方面的内在动力。要突出人才牵引，大力培养、引进、聚集高端创新人才。要突出资本支持，更多更好地发挥各类投资机构对市场的敏锐性，积极打造高质量发展科技创新新引擎。,涟源市,德阳市,李莹,涟源市市委常委、常务副市长,邓良辉,德阳市副市长、党组副书记,2022,2022-04-28 00:00:00,1.0,实地参观了旌阳区行政审批服务中心，详细了解德阳市阆中市、广汉市、简阳市、什邡市及德阳航空产业园区四地政务服务中心联动实况；学习先进经验和做法，进一步提高政务服务效能；在庙嘴镇座谈交流，观看服务中心软硬件建设和“线上服务，线下办事”一体化模式应用展示；企业开办一次性告知承诺制改革、行政审批局政务服务“全市通办”“只进一扇门”工作机制,是,政府运作；数字政府；宏观经济
8月25至26日，眉山市委书记李静，市委副书记、市长宋朝华率该市党政代表团前往凉山州，深入攀钢集团西昌钢钒有限公司、德昌县风电场、德昌县小高乡安宁村、西昌市海河天街等现场，学习考察新型工业化和新型城镇化发展建设情况。省政协副主席、凉山州委书记翟占一，州委副书记、州长罗凉清一同考察。 攀钢集团西昌钢钒有限公司因攀钢西昌钒钛资源综合利用项目而诞生，这是我省推进产业结构调整升级，加快建设中国攀西战略资源创新开发试验区的重大项目。项目总投资近300亿元，配备国际国内先进设备，运用多项节能环保技术进行生产。站在高处俯瞰，一座现代化的钢城矗立在眼前，代表团成员感到非常震撼。 德昌风电场是中国首个山谷风力发电场，也是我省首座风力发电场。德昌风电场的建成，不仅填补了四川风力发电的空白，同时为凉山新能源开发利用开辟出一条新路。在现场，代表团成员详细了解项目建设进展情况和风力资源开发前景及风力发电投资与效益介绍。目前，该项目一、二、三期工程完成投资9.82亿元，安装风力发电机组50台，装机容量10.95万千瓦，已正式并网发电。 德昌县小高乡安宁村以城乡建设用地增减挂钩试点项目为依托，建设田园式现代新村，集约化发展畜禽养殖、蔬菜种植等特色产业，极大改善了当地群众的生产生活水平。 西昌市海河天街项目是根据现代生态田园城市的定位，和“海河水乡”特色进行打造的城郊新城市空间。建筑立面、湖岸线、园林景观照明等都经过精心规划设计建设，山水相依、景城相连、水在城中、景在水中。 考察中，翟占一表示，眉山历史文化厚重，充满生机活力，发展潜力巨大。近年来，眉山主动融入成都，同城发展，城市建设、产业发展、新农村建设等方面都得到了突飞猛进的发展。凉山州水能、矿产、农业、旅游、民族文化五大资源优势突出，近年来发展很快，下一步要继续学习眉山思想解放、作风扎实，大气魄、大力度搞建设的做法，在现代农业、旅游产业等方面与眉山继续深化区域合作，增进交往，加快两地经济社会更好地发展。 李静表示，此次前来学习考察，详细了解了凉山州现代化大手笔的产业项目、独具特色的城市规划建设，新型工业化和新型城镇化两化互动，凉山州发展势头迅猛，变化日新月异，深感震撼，深受启发。眉山将把此次学习考察的深切感受转化为继续追赶跨越的强大动力，结合实际情况，因地制宜，把学习到的经验运用到眉山各项工作中，促进眉山经济社会继续加快发展。同时，真诚希望两地继续加强交流合作，增进彼此情谊，共创美好未来。 市领导贺文、王影聪、刘十庆、吴小可、黄跃、王光彩、周孝平，各区县委书记、市级相关部门主要负责人参加考察。凉山州领导王金铁、邓显祥、龙伟等陪同考察。,眉山市,西昌市,李静,眉山市市委书记,翟占一,省政协副主席、凉山州委书记,2023,2023-08-25 00:00:00,2.0,学习考察新型工业化和新型城镇化发展建设情况；现代化的钢城；山水相依、景城相连、水在城中、景在水中；,否,宏观经济；区域规划；环境保护；土地；能源利用
探索统筹城乡发展，四川走在全国前列，哪些经验值得学习？8月23日至25日，福建省委副书记陈文清、副省长王蒙徽率福建党政代表团来川考察，深入成都、绵阳两市的社区、企业、规划馆，实地考察统筹城乡综合配套改革、城市规划等情况。 省委副书记李春城，省委常委、成都市委书记黄新初，副省长黄彦蓉、陈文华分别陪同考察。 23日中午一抵达成都，代表团一行就马不停蹄来到龙泉驿区龙华社区。自2004年以来，该社区通过创新农村土地经营机制，成立“农民股份合作社”，变土地资源为资本，集体资产由原来负债30万元发展到价值4亿元以上，实现社会养老保险、医疗统筹全覆盖，充分体现了改革的巨大成效。看到农民已经融入城市生活，不仅安居乐业，精神文化活动也丰富多彩，代表团成员十分感慨，对四川在统筹城乡发展中取得的成效赞不绝口，纷纷表示要把四川的成功经验带回去，应用到福建城乡一体化综合改革实践中。 做好规划，是统筹城乡发展的关键。代表团一行先后来到“城乡一体化——成都市统筹城乡科学发展之路”主题展览馆、成都市规划馆、绵阳市城南新区等，详细了解成都、绵阳和天府新区规划建设情况。四川高起点、高标准规划，在城市产业发展、生态环境建设、科技攻关创新等方面的瞩目成绩，令代表团成员深受启发。 四川正在实施的“两化”互动、统筹城乡总体战略，引起代表团一行极大关注。在一汽大众成都基地和长虹集团，代表团参观了企业生产车间，详细了解四川发展高端制造业、推进新型工业化的最新进展。目前，一汽大众成都基地已建成亚洲最先进的全自动化全封闭冲压生产线、全球最先进的激光焊装车间，每分钟可生产一辆新车，预计2015年实现产量45万辆。 代表团还参观了成都的两张“名片”——宽窄巷子和东区音乐公园，学习成都在创新中保护利用传统文化的做法。 （记者 张守帅）,福建省,成都市,王蒙徽,省政府副省长,黄彦蓉,四川省副省长,2014,2014-08-23 00:00:00,3.0,统筹城乡综合配套改革；城市规划；农村土地经营机制；社会养老保险、医疗统筹全覆盖；,否,区域规划；流动人口；财政；政府运作
曾经在新中国工业史上书写了上百个“第一”的老工业基地辽宁，在新型工业化的道路上又书写了许多“第一”；曾经位列世界十大污染城市的沈阳，现在是国家环保模范城。6月22日，由省委副书记、省长蒋巨峰率领的四川省党政代表团在辽宁考察时，对其工业发展、城市建设、生态保护印象深刻。辽宁省委书记、省人大常委会主任王珉，辽宁省委副书记、省长陈政高分别陪同考察。 四川省党政代表团考察了沈鼓集团、北方重工、远大企业集团、沈阳机床集团、沈阳华强文化科技产业基地、东北总部基地、华晨汽车等企业。它们都拥有若干项中国“第一”，许多企业还在打造跨国集团，冲刺世界“第一”。 “我们快速发展的灵魂在于不断创新。”拥有51个中国建筑工程最高奖“鲁班奖”的远大企业集团负责人如是总结。在沈阳机床集团，技术创新者收入与其创新成果的销售收入挂钩，实行“国有体制、民营机制”。蒋巨峰十分赞同他们把自主创新摆在首位的做法，并从企业运营机制上与他们进行了交流。 铁西新区集中了众多大型装备制造企业和现代建筑企业，规模大，档次高。“老工业基地真正重振雄风了”，蒋巨峰与该区负责人探讨认为，推进新型工业化，要进行准确的市场和产业定位，不断完善软硬环境，加强政策引导和人才等要素保障，横向配套，纵向延伸产业链，实现集中集聚集约发展。 辽宁的城镇化率居全国第二位，在推进新型城镇化方面有许多创举。沈阳作为沈阳经济区的龙头，在其东西南北都规划建设新城，连同老城区一起形成了五大发展空间。每个新城有其个性化的定位和相应的产业支撑，同时在城市功能上又相对完整。蒋巨峰与当地领导及规划人员交流了城市功能分区、产业错位发展、水电气配套、交通物流等情况，他认为沈阳的城市群规划和城市新区规划很具前瞻性、科学性，特别是城市群很好地发挥了集聚效应。 长达33公里的蒲河生态廊道是辽宁省治理环境和保护生态的范例工程。过去蒲河水面只有十几米宽，治理后的水面宽逾百米，水质提升，形成了7处景观湖、3处湿地、8座拦河闸、24座桥梁，还有两岸10平方公里的绿化带。生态的改善提升了人居环境，投资者也纷至沓来。蒲河所在的沈北新区，规划了300平方公里蒲河新区、400平方公里现代农业区、119平方公里生态旅游区，正在打造手机制造、农产品深加工、家电制造、通航产业四大千亿产业基地。蒋巨峰称赞沈阳改善生态环境的成效显著，表示将学习先进经验，进一步推进四川建设长江上游生态屏障的工作。 四川省委常委、副省长魏宏，省政府秘书长于伟参加考察。辽宁省委常委、副省长许卫国，副省长邴志刚，沈阳市市长陈海波，省政府秘书长冯韧陪同考察。 （记者 谭江琦）,巴中市,平顶山市,何平,巴中市市长,翟志刚,平顶山市市委常委、常务副市长,2024,2024-03-28 00:00:00,1.0,考察了平顶山市乡村规划、园区建设、道路交通、漂流搬迁等工作,否,区域规划；宏观经济；交通运输；住房；应急事件
